BB,ER,ERA,G,H,HBP,HLD,HR,IP,L,R,SO,SV,W,WHIP,WPCT,team_filter,선수명,순위,팀명
28,24,3.27,62,50,6,0,6,66,3,27,57,29,4,1.18,0.571,NC,류진욱,3,NC
45,27,3.42,75,52,9,20,5,71,3,30,68,6,4,1.37,0.571,NC,김진호,4,NC
1,4,3.48,3,13,0,0,1,10 1/3,0,4,9,0,0,1.35,-,NC,구창모,5,NC
55,65,3.51,29,131,3,0,17,166 2/3,7,75,209,0,16,1.12,0.696,NC,라일리,6,NC
35,28,4.27,68,47,11,24,3,59,4,34,49,2,2,1.39,0.333,NC,배재환,7,NC
33,37,4.29,72,84,11,12,2,77 2/3,7,43,59,2,7,1.51,0.500,NC,전사민,8,NC
19,24,4.41,50,52,1,7,4,49,1,28,34,0,6,1.45,0.857,NC,손주환,9,NC
67,87,4.53,32,180,10,0,18,173,12,98,149,0,7,1.43,0.368,NC,로건,10,NC
26,69,4.79,27,145,6,0,23,129 2/3,3,75,82,0,6,1.32,0.667,NC,신민혁,11,NC
9,10,4.82,31,18,4,4,3,18 2/3,1,13,15,0,1,1.45,0.500,NC,임정호,12,NC
16,11,5.21,18,17,1,0,4,19,0,15,9,0,0,1.74,-,NC,김태훈,13,NC
5,2,5.4,5,1,0,1,0,3 1/3,1,2,6,0,0,1.8,0.000,NC,임지민,14,NC
7,5,5.63,7,5,1,0,0,8,0,5,3,0,0,1.5,-,NC,소이현,15,NC
42,39,6.05,16,68,5,0,6,58,5,42,45,0,3,1.9,0.375,NC,목지훈,16,NC
16,15,6.23,22,32,1,2,5,21 2/3,0,16,16,0,0,2.22,-,NC,김재열,17,NC
28,33,6.23,35,62,3,4,6,47 2/3,2,33,33,0,2,1.89,0.500,NC,최성영,17,NC
47,51,6.56,21,75,3,1,10,70,4,53,37,0,3,1.74,0.429,NC,김녹원,19,NC
7,4,6.75,9,9,0,1,0,5 1/3,1,4,5,0,1,3.0,0.500,NC,하준영,20,NC
